id,Gender,gender,Age,Under 30,Senior Citizen,*age,age,Married,married,Dependents,Number of Dependents,*num_depnd,num_dep,City,Lat Long,Latitude,Longitude,location,Population,,Satisfaction Score,*score,score,Referred a Friend,Number of Referrals,*num_ref,num_ref,Tenure in Months,,,Offer,,,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category,is_test,is_train,is_train_and_na_churn
9796-MVYXX,Female,,73,No,NA,73,73,No,,No,0,0,,Gardena,"33.890853, -118.297967",33.890853,-118.297967,,47758,,NA,,,No,0,0,0,56,,,None,,,Yes,47.13,NA,Yes,NA,29,Yes,Yes,Yes,No,Yes,Yes,NA,Yes,One Year,NA,Bank Withdrawal,110.5,6139.5,0,0,2639.28,NA,No Churn,NA,TRUE,0
8590-YFFQO,NA,,80,No,NA,80,80,No,,No,0,0,,Hawthorne,"33.914775, -118.348083",33.914775,-118.348083,,93315,,4,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn,NA,TRUE,0
6923-AQONU,Male,,79,No,Yes,79,79,No,,No,0,0,,Redondo Beach,"33.873395, -118.37019",33.873395,-118.37019,,37322,,5,,,No,0,0,0,1,,,None,,,Yes,27.65,NA,Yes,Fiber Optic,2,No,No,NA,Yes,No,No,NA,Yes,One Year,No,Bank Withdrawal,74.7,NA,0,0,27.65,102.35,NA,TRUE,NA,0
1063-DHQJF,NA,,65,No,NA,65,65,Yes,,No,0,0,,Santa Monica,NA,34.035849,-118.503508,,NA,,NA,,,No,0,0,0,66,,,NA,,,NA,0,No,Yes,Cable,9,No,Yes,Yes,No,Yes,No,No,NA,NA,NA,Bank Withdrawal,45.55,3027.25,0,0,0,3027.25,NA,TRUE,NA,0
2823-LKABH,NA,,73,No,Yes,73,73,No,,NA,NA,0,,Artesia,"33.867593, -118.080637",33.867593,-118.080637,,NA,,NA,,,No,0,0,0,71,,,NA,,,No,NA,No,Yes,DSL,NA,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,56.45,3985.35,0,0,0,3985.35,No Churn,NA,TRUE,0
4826-XTSOH,Female,,71,No,Yes,71,71,Yes,,No,0,0,,Paramount,"33.897122, -118.164432",NA,-118.164432,,55306,,NA,,,Yes,NA,1,1,72,,,NA,,,Yes,NA,Yes,NA,DSL,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,88.05,6425.65,0,0,1474.56,7900.21,No Churn,NA,TRUE,0
5204-HMGYF,Male,,66,No,Yes,66,66,Yes,,No,0,0,,NA,"33.719221, -118.073596",33.719221,-118.073596,,1107,,3,,,Yes,7,7,7,71,,,Offer A,,,Yes,30.72,Yes,No,None,0,NA,No,No,No,NA,No,No,No,NA,No,Bank Withdrawal,23.95,1756.2,0,0,NA,3937.32,No Churn,NA,TRUE,0
9819-FBNSV,Male,,66,No,NA,66,66,Yes,,NA,0,0,,NA,"34.214054, -118.88109",34.214054,-118.88109,,NA,,3,,,Yes,1,1,1,23,,,None,,,Yes,42.59,Yes,Yes,Fiber Optic,2,No,No,No,No,No,Yes,Yes,NA,One Year,No,Bank Withdrawal,86.8,1975.85,0,0,979.57,2955.42,NA,TRUE,NA,0
7295-JOMMD,Female,,68,No,Yes,68,68,No,,No,0,0,,Chino Hills,"33.942895, -117.725644",NA,-117.725644,,66754,,4,,,No,NA,0,0,13,,,None,,,Yes,10.51,No,Yes,DSL,20,No,Yes,Yes,No,No,No,No,NA,NA,Yes,Bank Withdrawal,54.8,731.3,0,NA,136.63,867.93,No Churn,NA,TRUE,0
1704-NRWYE,Male,,NA,No,Yes,72,72,No,,No,0,0,,Chino,"33.990646, -117.663025",33.990646,-117.663025,,75319,,NA,,,No,0,0,0,NA,,,Offer E,,,Yes,36.4,NA,Yes,Fiber Optic,29,NA,No,No,No,No,No,NA,Yes,One Year,NA,Bank Withdrawal,75.35,273.4,0,NA,145.6,419,No Churn,NA,TRUE,0
7026-YMSBE,Female,,69,No,Yes,69,69,Yes,,No,NA,0,,NA,NA,NA,NA,,NA,,3,,,Yes,5,5,5,29,,,None,,,No,0,No,Yes,Cable,23,NA,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,45,1228.65,0,0,0,NA,No Churn,NA,TRUE,0
2925-MXLSX,Male,,79,No,Yes,79,79,Yes,,No,0,0,,La Verne,"34.144703, -117.770299",34.144703,-117.770299,,35530,,NA,,,Yes,1,1,1,NA,,,None,,,Yes,36.66,Yes,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.85,4925.35,0,0,2089.62,7014.97,NA,TRUE,NA,0
0564-JJHGS,NA,,67,NA,Yes,67,67,No,,No,0,0,,Ontario,NA,34.035602,-117.591528,,56280,,3,,,No,NA,0,0,NA,,,None,,,Yes,7.95,No,Yes,Fiber Optic,12,Yes,Yes,No,Yes,NA,Yes,No,No,NA,NA,Mailed Check,105,NA,0,20,151.05,2178.3,No Churn,NA,TRUE,0
7369-TRPFD,Male,,68,No,Yes,68,68,NA,,No,0,0,,Pomona,"34.083086, -117.737997",34.083086,-117.737997,,46626,,3,,,Yes,3,3,3,NA,,,None,,,Yes,NA,Yes,Yes,Fiber Optic,NA,No,Yes,No,Yes,Yes,NA,No,Yes,One Year,No,Bank Withdrawal,107.05,NA,0,0,551.2,NA,No Churn,NA,TRUE,0
9026-LHEVG,Male,,79,No,Yes,79,79,Yes,,No,0,0,,San Gabriel,"34.114772, -118.089431",34.114772,NA,,23444,,4,,,Yes,5,5,5,21,,,None,,,Yes,42.95,No,Yes,DSL,NA,Yes,Yes,No,No,NA,NA,No,Yes,One Year,NA,Bank Withdrawal,64.95,1339.8,0,0,901.95,2241.75,No Churn,NA,TRUE,0
3486-NPGST,Female,,NA,NA,Yes,72,72,NA,,No,0,0,,Chula Vista,"32.607964, -117.059459",32.607964,-117.059459,,71126,,3,,,No,NA,0,0,6,,,Offer E,,,Yes,NA,No,Yes,Fiber Optic,19,No,No,No,No,Yes,NA,No,Yes,One Year,Yes,Bank Withdrawal,89.35,567.8,NA,0,48.36,NA,NA,TRUE,NA,0
3207-OYBWH,Male,,73,No,Yes,73,73,Yes,,No,0,0,,Descanso,NA,32.912664,-116.635387,,1587,,NA,,,Yes,4,4,4,35,,,None,,,Yes,2.12,Yes,Yes,NA,3,No,No,Yes,No,NA,NA,No,Yes,One Year,Yes,Bank Withdrawal,100.8,3437.5,0,0,74.2,3511.7,NA,TRUE,NA,0
7449-HVPIV,Male,,71,No,Yes,71,71,Yes,,Yes,1,1,,Pine Valley,"32.800671, -116.483363",32.800671,NA,,NA,,NA,,,Yes,9,9,9,NA,,,None,,,NA,28.3,Yes,Yes,NA,27,No,Yes,No,No,Yes,NA,No,Yes,NA,No,NA,101.15,3741.85,0,0,1075.4,4817.25,No Churn,NA,TRUE,0
8280-MQRQN,NA,,67,No,Yes,67,67,NA,,No,0,0,,Bonsall,"33.290907, -117.202895",33.290907,-117.202895,,3849,,NA,,,NA,0,0,0,5,,,Offer E,,,Yes,9.56,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,69.35,341.6,0,0,47.8,389.4,NA,TRUE,NA,0
6656-JWRQX,NA,,NA,No,Yes,72,72,NA,,No,0,0,,Fallbrook,"33.362575, -117.299644",33.362575,-117.299644,,42239,,NA,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn,NA,TRUE,0
9305-CDSKC,NA,,NA,NA,NA,NA,NA,Yes,,Yes,NA,2,,Julian,"32.980678, -116.262854",32.980678,-116.262854,,3577,,5,,,Yes,3,3,3,28,,,None,,,No,NA,No,Yes,DSL,NA,No,No,No,No,Yes,No,No,No,One Year,NA,Bank Withdrawal,35.9,973.65,NA,40,0,NA,No Churn,NA,TRUE,0
4565-EVZMJ,Female,,79,NA,NA,79,79,No,,No,0,0,,La Jolla,NA,32.853743,-117.25034,,NA,,NA,,,No,0,0,0,17,,,Offer D,,,NA,1.06,Yes,Yes,Fiber Optic,NA,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,82.65,1470.05,0,0,NA,NA,NA,TRUE,NA,0
5519-NPHVG,Female,,69,No,Yes,69,69,No,,No,0,0,,Rancho Santa Fe,"33.012751, -117.200617",33.012751,NA,,7615,,5,,,No,0,0,0,32,,,None,,,Yes,NA,No,Yes,DSL,14,No,Yes,No,NA,No,No,No,No,One Year,No,Bank Withdrawal,54.65,1830.1,0,10,637.44,2477.54,No Churn,NA,TRUE,0
4456-RHSNB,Female,,72,No,Yes,72,72,No,,No,0,0,,San Marcos,"33.119028, -117.166036",33.119028,-117.166036,,6760,,4,,,No,0,0,0,1,,,Offer E,,,Yes,7.77,Yes,Yes,NA,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,NA,72.1,0,0,7.77,NA,NA,NA,TRUE,1
4488-PSYCG,Female,,69,NA,Yes,69,69,Yes,,No,0,0,,Warner Springs,"33.323705, -116.626907",33.323705,-116.626907,,NA,,3,,,Yes,9,9,9,64,,,None,,,Yes,3.76,No,Yes,Fiber Optic,11,Yes,Yes,Yes,No,NA,Yes,No,Yes,One Year,NA,Bank Withdrawal,97,6430.9,0,0,240.64,6671.54,NA,NA,TRUE,1
5981-ZVXOT,Female,,70,No,Yes,70,70,NA,,No,0,0,,San Diego,"32.71346, -117.236378",32.71346,NA,,18525,,3,,,No,NA,0,0,NA,,,Offer D,,,Yes,9.72,Yes,Yes,DSL,29,NA,NA,No,NA,No,No,No,Yes,One Year,Yes,Bank Withdrawal,NA,889,0,0,155.52,1044.52,NA,TRUE,NA,0
4094-NSEDU,Male,,78,NA,NA,78,78,Yes,,No,NA,0,,San Ysidro,"32.555828, -117.040073",32.555828,-117.040073,,NA,,NA,,,Yes,1,1,1,72,,,Offer A,,,No,NA,No,Yes,DSL,24,Yes,NA,Yes,Yes,NA,Yes,No,Yes,Two Year,Yes,NA,64.8,4732.35,0,0,0,NA,NA,NA,TRUE,1
1098-KFQEC,Female,,73,No,Yes,73,73,No,,No,NA,0,,Calexico,"32.690654, -115.431225",NA,-115.431225,,NA,,3,,,No,0,0,0,2,,,Offer E,,,Yes,23.91,No,Yes,Cable,NA,NA,No,NA,No,No,No,No,NA,One Year,Yes,Bank Withdrawal,44.3,89.3,0,0,NA,137.12,No Churn,NA,TRUE,0
6702-OHFWR,Female,,76,No,Yes,76,76,Yes,,No,0,0,,Cathedral City,NA,33.829583,-116.474131,,43141,,4,,,Yes,NA,1,1,42,,,None,,,Yes,42.29,NA,Yes,Fiber Optic,10,NA,No,No,No,Yes,NA,No,No,NA,Yes,Bank Withdrawal,95.05,3944.5,0,NA,1776.18,5820.68,No Churn,NA,TRUE,0
1409-PHXTF,NA,,78,No,Yes,78,78,Yes,,No,0,0,,Desert Center,"33.889605, -115.257009",33.889605,-115.257009,,964,,3,,,Yes,7,7,7,NA,,,None,,,Yes,25.15,Yes,Yes,Fiber Optic,20,Yes,No,NA,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,0,0,829.95,4524.65,NA,NA,TRUE,1
0486-LGCCH,NA,,74,No,Yes,74,74,No,,No,0,0,,NA,NA,NA,NA,,NA,,4,,,No,0,0,0,33,,,Offer C,,,No,0,No,Yes,Cable,NA,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,54.6,1803.7,0,0,0,1803.7,No Churn,NA,TRUE,0
7563-BIUPC,Male,,79,No,Yes,79,79,NA,,No,0,0,,White Water,"33.972293, -116.654195",33.972293,-116.654195,,805,,4,,,Yes,4,4,4,NA,,,None,,,Yes,29.15,Yes,Yes,Fiber Optic,9,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.1,NA,0,0,1515.8,6892.2,NA,NA,TRUE,1
3992-YWPKO,Female,,76,NA,NA,76,76,No,,No,0,0,,NA,"34.059722, -117.39104",NA,-117.39104,,25995,,3,,,No,NA,0,0,49,,,None,,,Yes,24.84,Yes,Yes,Fiber Optic,14,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,101.55,5070.4,0,0,1217.16,6287.56,No Churn,NA,TRUE,0
0374-AACSZ,Female,,78,No,NA,78,78,No,,NA,0,0,,Fontana,"34.136367, -117.460803",34.136367,NA,,54586,,3,,,No,0,0,0,22,,,Offer D,,,Yes,49.98,No,Yes,DSL,28,Yes,No,Yes,Yes,No,NA,Yes,Yes,One Year,Yes,Mailed Check,69.75,1545.4,0,0,1099.56,2644.96,NA,NA,TRUE,1
9741-YLNTD,NA,,66,No,Yes,66,66,Yes,,NA,0,0,,Nipton,"35.478736, -115.516984",35.478736,NA,,162,,NA,,,Yes,2,2,2,64,,,None,,,Yes,20.19,Yes,Yes,Fiber Optic,8,No,No,Yes,Yes,Yes,Yes,Yes,NA,Two Year,No,Bank Withdrawal,102.1,6538.45,0,0,1292.16,7830.61,No Churn,NA,TRUE,0
3131-NWVFJ,NA,,71,No,Yes,71,71,No,,NA,0,0,,Pinon Hills,"34.459322, -117.629729",NA,-117.629729,,4280,,NA,,,No,0,0,0,17,,,Offer D,,,Yes,24.15,No,No,None,0,No,No,No,No,No,No,No,No,One Year,NA,Mailed Check,20.65,330.6,NA,0,410.55,741.15,NA,NA,TRUE,1
3230-IUALN,Male,,77,No,Yes,77,77,NA,,Yes,1,1,,NA,NA,NA,NA,,NA,,5,,,Yes,6,6,6,35,,,NA,,,Yes,14.19,No,Yes,DSL,17,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,76.05,2747.2,0,0,496.65,NA,NA,TRUE,NA,0
5989-PGKJB,NA,,74,No,Yes,74,74,No,,No,0,0,,Yermo,"35.013299, -116.834092",35.013299,-116.834092,,1195,,NA,,,No,0,0,0,20,,,NA,,,Yes,23.18,No,NA,NA,21,NA,No,No,No,No,Yes,Yes,Yes,One Year,Yes,NA,81.45,1671.6,0,0,463.6,2135.2,NA,NA,TRUE,1
6344-SFJVH,Male,,73,No,Yes,73,73,Yes,,No,0,0,,Riverside,"33.9108, -117.398153",33.9108,-117.398153,,NA,,NA,,,Yes,9,9,9,61,,,None,,,Yes,34.24,Yes,Yes,DSL,20,No,Yes,No,No,NA,Yes,Yes,Yes,One Year,No,Bank Withdrawal,NA,3902.6,0,0,2088.64,5991.24,NA,NA,TRUE,1
6516-NKQBO,Female,,NA,No,Yes,72,72,Yes,,No,0,0,,Lake Elsinore,"33.705836, -117.318204",33.705836,NA,,4546,,3,,,Yes,4,4,4,71,,,Offer A,,,Yes,43.99,Yes,Yes,Fiber Optic,17,Yes,No,No,No,No,No,No,Yes,NA,Yes,NA,80.7,5676,0,NA,3123.29,NA,NA,TRUE,NA,0
4130-MZLCC,Male,,78,NA,NA,78,78,Yes,,No,0,0,,Moreno Valley,"33.923149, -117.244933",33.923149,-117.244933,,61205,,3,,,Yes,NA,1,1,20,,,None,,,Yes,32.54,No,Yes,Fiber Optic,5,Yes,No,Yes,Yes,No,Yes,No,Yes,One Year,No,Credit Card,94.3,1818.3,NA,0,650.8,NA,No Churn,NA,TRUE,0
7971-HLVXI,Female,,NA,No,Yes,72,72,Yes,,No,NA,0,,Perris,"33.787298, -117.320676",33.787298,-117.320676,,36817,,4,,,NA,1,1,1,NA,,,Offer E,,,NA,NA,No,Yes,NA,23,No,NA,No,No,NA,No,No,Yes,One Year,NA,Bank Withdrawal,70.05,302.6,0,NA,27.1,NA,No Churn,NA,TRUE,0
7493-TPUWZ,Male,,77,No,Yes,77,77,Yes,,No,0,0,,Menifee,"33.653338, -117.178271",33.653338,-117.178271,,NA,,5,,,Yes,1,1,1,29,,,Offer C,,,Yes,NA,Yes,Yes,DSL,NA,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,NA,1442,0,0,NA,2533.85,No Churn,NA,TRUE,0
2346-DJQTB,Male,,77,No,Yes,77,77,Yes,,Yes,1,1,,Temecula,"33.540604, -117.10909",33.540604,-117.10909,,25655,,4,,,Yes,1,1,1,72,,,Offer A,,,Yes,30.78,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,NA,NA,Yes,No,No,Two Year,Yes,Credit Card,NA,NA,0,110,NA,10725.31,NA,TRUE,NA,0
9025-ZRPVR,Female,,80,No,Yes,80,80,No,,No,0,0,,Winchester,"33.657433, -117.04254",33.657433,-117.04254,,4093,,3,,,No,0,0,0,56,,,None,,,Yes,17.33,NA,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,NA,99.9,NA,0,0,970.48,6676.78,NA,TRUE,NA,0
4390-KYULV,Male,,80,No,Yes,80,80,NA,,Yes,1,1,,NA,NA,NA,NA,,NA,,5,,,No,0,0,0,68,,,Offer A,,,Yes,32.11,Yes,Yes,Fiber Optic,NA,NA,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Credit Card,107.15,7379.8,0,50,2183.48,9613.28,No Churn,NA,TRUE,0
0487-VVUVK,Male,,80,No,Yes,80,80,Yes,,No,0,0,,Laguna Beach,"33.570023, -117.773669",33.570023,NA,,25206,,NA,,,Yes,9,9,9,NA,,,None,,,Yes,14.49,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,No,NA,No,No,Yes,One Year,Yes,Bank Withdrawal,101.9,5265.5,0,0,724.5,5990,No Churn,NA,TRUE,0
7089-RKVSZ,Male,,74,No,Yes,74,74,No,,No,0,0,,Santa Ana,"33.766004, -117.786763",33.766004,-117.786763,,NA,,3,,,No,0,0,0,47,,,None,,,Yes,14.78,Yes,Yes,DSL,10,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,59.6,2754,0,0,694.66,3448.66,NA,TRUE,NA,0
1964-SVLEA,Female,,76,No,Yes,76,76,Yes,,No,0,0,,Fountain Valley,"33.712036, -117.950113",33.712036,-117.950113,,54548,,4,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn,NA,TRUE,0
0019-EFAEP,NA,,68,No,Yes,68,68,Yes,,No,0,0,,Anaheim,NA,33.807864,-117.923782,,NA,,3,,,Yes,3,3,3,35,,,Offer C,,,Yes,20.44,Yes,Yes,Fiber Optic,18,Yes,Yes,No,NA,NA,Yes,No,Yes,One Year,Yes,Bank Withdrawal,94.55,3365.4,0,0,715.4,4080.8,No Churn,NA,TRUE,0
6016-LVTJQ,NA,,71,No,NA,71,71,No,,No,0,0,,NA,"34.227846, -119.079903",34.227846,NA,,42853,,3,,,NA,0,0,0,44,,,None,,,Yes,NA,Yes,Yes,NA,2,Yes,Yes,Yes,No,Yes,NA,No,Yes,One Year,Yes,Credit Card,109.8,NA,0,0,2189,7049.35,No Churn,NA,TRUE,0
3757-NJYBX,Female,,69,No,NA,69,69,No,,NA,0,0,,Moorpark,"34.312945, -118.858169",34.312945,-118.858169,,32984,,3,,,No,0,0,0,66,,,Offer A,,,Yes,11.63,Yes,Yes,Fiber Optic,5,No,No,Yes,Yes,Yes,Yes,NA,No,One Year,Yes,Credit Card,102.85,6976.75,0,60,767.58,7804.33,No Churn,NA,TRUE,0
4020-KIUDI,Male,,73,No,Yes,73,73,Yes,,Yes,3,3,,Oxnard,"34.223244, -119.18012",34.223244,-119.18012,,79736,,NA,,,Yes,1,1,1,10,,,None,,,No,0,No,Yes,Cable,NA,No,No,No,No,No,Yes,NA,Yes,One Year,Yes,Bank Withdrawal,34.55,NA,0,0,0,362.6,NA,TRUE,NA,0
9508-ILZDG,Female,,74,NA,Yes,74,74,Yes,,No,0,0,,Simi Valley,"34.269449, -118.768471",34.269449,-118.768471,,64802,,NA,,,NA,7,7,7,66,,,Offer A,,,Yes,25.51,Yes,Yes,Fiber Optic,15,No,Yes,Yes,NA,Yes,Yes,No,Yes,One Year,No,Credit Card,NA,6819.45,0,0,NA,8503.11,NA,TRUE,NA,0
9548-LIGTA,NA,,72,NA,Yes,72,72,No,,No,0,0,,Somis,"34.297628, -119.014627",34.297628,-119.014627,,NA,,5,,,No,0,0,0,72,,,Offer A,,,Yes,NA,Yes,Yes,Fiber Optic,NA,No,Yes,Yes,NA,Yes,NA,No,Yes,Two Year,No,Bank Withdrawal,NA,7943.45,0,0,3226.32,NA,No Churn,NA,TRUE,0
5232-NXPAY,Female,,70,No,NA,70,70,No,,NA,0,0,,Buttonwillow,"35.451402, -119.488413",35.451402,-119.488413,,2078,,4,,,No,0,0,0,NA,,,NA,,,Yes,47.72,No,Yes,Fiber Optic,21,No,Yes,Yes,No,No,NA,NA,Yes,One Year,Yes,Bank Withdrawal,89.85,4287.2,0,0,2338.28,6625.48,No Churn,NA,TRUE,0
2716-GFZOR,Male,,NA,No,Yes,72,72,No,,No,0,0,,Pixley,"35.957019, -119.330928",35.957019,-119.330928,,4198,,3,,,No,0,0,0,65,,,None,,,Yes,NA,NA,Yes,Fiber Optic,27,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,NA,Bank Withdrawal,110.35,7246.15,0,0,2874.95,10121.1,No Churn,NA,TRUE,0
2348-KCJLT,Female,,74,No,Yes,74,74,No,,No,0,0,,Strathmore,"36.141319, -119.129075",NA,-119.129075,,5689,,3,,,No,0,0,0,40,,,None,,,Yes,NA,Yes,Yes,Fiber Optic,24,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,103.75,4188.4,NA,0,1141.6,5330,NA,TRUE,NA,0
9548-LERKT,Female,,65,No,Yes,65,65,NA,,NA,0,0,,Woodlake,NA,36.464635,NA,,8870,,NA,,,No,NA,0,0,22,,,None,,,Yes,34.39,No,No,None,0,NA,No,No,No,No,No,No,NA,One Year,Yes,Credit Card,20.05,417,0,0,756.58,1173.58,NA,TRUE,NA,0
3399-BMLVW,NA,,72,No,Yes,72,72,Yes,,Yes,1,1,,Bakersfield,"35.383937, -119.020428",35.383937,-119.020428,,12963,,3,,,Yes,1,1,1,47,,,None,,,Yes,42.29,NA,Yes,Fiber Optic,22,No,Yes,No,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,NA,4018.05,0,NA,1987.63,NA,No Churn,NA,TRUE,0
4385-ZKVNW,Male,,76,No,Yes,76,76,NA,,No,0,0,,Bakersfield,"35.140938, -119.051348",35.140938,NA,,25126,,NA,,,No,0,0,0,27,,,Offer C,,,Yes,34.39,Yes,Yes,Fiber Optic,19,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.65,2964,NA,0,928.53,3892.53,No Churn,NA,TRUE,0
4584-LBNMK,Male,,75,No,Yes,75,75,Yes,,No,NA,0,,Creston,NA,35.480896,-120.469476,,1203,,4,,,Yes,7,7,7,68,,,Offer A,,,Yes,34.31,Yes,Yes,Fiber Optic,15,No,No,NA,No,No,NA,No,Yes,One Year,Yes,Credit Card,80.35,5589.3,0,0,2333.08,7922.38,NA,TRUE,NA,0
2636-ALXXZ,Male,,70,No,Yes,70,70,Yes,,No,NA,0,,Los Olivos,"34.70434, -120.02609",34.70434,-120.02609,,1317,,4,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn,NA,TRUE,0
8464-EETCQ,Male,,66,No,Yes,66,66,No,,No,0,0,,Santa Ynez,"34.630356, -120.032564",34.630356,-120.032564,,5710,,4,,,No,0,0,0,42,,,None,,,Yes,13.51,Yes,Yes,Fiber Optic,NA,No,Yes,No,No,NA,No,No,Yes,One Year,Yes,Bank Withdrawal,79.35,3344.1,0,0,567.42,3911.52,No Churn,NA,TRUE,0
2274-XUATA,NA,,68,No,Yes,68,68,Yes,,No,0,0,,Shandon,"35.634488, -120.293534",35.634488,-120.293534,,1255,,3,,,No,0,0,0,72,,,Offer A,,,Yes,48.51,Yes,Yes,Cable,17,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,89.85,6697.35,0,0,3492.72,10190.07,NA,NA,TRUE,1
4919-MOAVT,Female,,69,NA,Yes,69,69,Yes,,No,0,0,,Benton,"37.653947, -118.231443",37.653947,NA,,340,,5,,,Yes,8,8,8,72,,,Offer A,,,Yes,15.85,NA,Yes,Fiber Optic,2,No,Yes,Yes,Yes,Yes,NA,No,Yes,Two Year,Yes,Credit Card,110.8,NA,0,0,1141.2,9023.45,No Churn,NA,TRUE,0
9220-ZNKJI,Male,,75,No,Yes,75,75,Yes,,No,0,0,,Big Pine,"37.245505, -118.062943",37.245505,-118.062943,,1826,,3,,,Yes,3,3,3,72,,,Offer A,,,Yes,21.38,Yes,Yes,Fiber Optic,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.95,8196.4,0,0,1539.36,9735.76,NA,TRUE,NA,0
2108-GLPQB,Female,,74,No,NA,74,74,No,,No,0,0,,Bishop,"37.04584, -118.397236",37.04584,-118.397236,,13309,,NA,,,No,0,0,0,3,,,Offer E,,,Yes,41.44,No,NA,Fiber Optic,NA,No,No,Yes,NA,No,NA,No,No,One Year,No,Credit Card,75.05,NA,5.49,10,124.32,NA,No Churn,NA,TRUE,0
8089-UZWLX,Female,,72,No,Yes,72,72,Yes,,No,0,0,,Fowler,"36.625792, -119.672483",NA,-119.672483,,5635,,NA,,,NA,NA,0,0,70,,,Offer A,,,Yes,16.87,Yes,Yes,Fiber Optic,3,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,75.65,5411.4,25.67,0,1180.9,6566.63,No Churn,NA,TRUE,0
0601-WZHJF,Male,,NA,No,Yes,72,72,No,,No,0,0,,O Neals,NA,37.140104,NA,,173,,5,,,No,0,0,0,5,,,Offer E,,,Yes,30.14,No,No,None,0,No,No,No,No,NA,No,No,No,NA,NA,Bank Withdrawal,20.05,94.15,0,0,150.7,244.85,NA,TRUE,NA,0
7471-MQPOS,Male,,70,No,Yes,70,70,Yes,,Yes,3,3,,Fresno,"36.749403, -119.787574",36.749403,-119.787574,,13858,,3,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn,NA,TRUE,0
9185-TQCVP,Male,,65,No,Yes,65,65,No,,No,0,0,,Los Altos,"37.349546, -122.134356",37.349546,NA,,18486,,5,,,NA,NA,0,0,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Churn,NA,TRUE,0
4396-KLSEH,Female,,66,No,Yes,66,66,No,,No,0,0,,Millbrae,"37.601248, -122.403099",37.601248,NA,,20350,,3,,,No,0,0,0,7,,,Offer E,,,Yes,26.29,No,Yes,Fiber Optic,20,NA,No,Yes,No,Yes,NA,No,No,One Year,Yes,Bank Withdrawal,84.35,609.65,29.17,NA,184.03,774.51,No Churn,NA,TRUE,0
