Customer ID,Count.x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count.y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category,is_test,is_train
0842-IWYCP,1,Male,49,No,No,No,NA,0,NA,United States,California,Fallbrook,NA,NA,33.362575,-117.299644,NA,NA,3,1,Q3,No,0,12,None,Yes,11.12,No,Yes,NA,14,NA,No,No,No,No,No,NA,NA,Month-to-Month,Yes,NA,45.4,518.9,0,NA,NA,652.34,Competitor,NA,TRUE
1577-HKTFG,1,NA,20,Yes,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,NA,60,None,Yes,10.7,Yes,Yes,Fiber Optic,NA,No,Yes,Yes,No,Yes,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.9,6396.45,0,0,642,NA,NA,TRUE,NA
6131-JLWZM,1,NA,54,No,NA,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,No,0,1,Offer E,Yes,29.78,No,NA,Fiber Optic,13,NA,No,No,NA,NA,NA,No,Yes,NA,No,Credit Card,69.55,69.55,0,0,29.78,99.33,Competitor,NA,TRUE
6906-ANDWJ,1,Female,58,No,No,Yes,No,0,1,United States,California,Ludlow,92338,"34.702766, -116.093376",34.702766,-116.093376,458,23,1,1,Q3,NA,1,28,Offer C,Yes,NA,No,Yes,Fiber Optic,13,No,NA,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2227.1,0,NA,471.8,2698.9,NA,NA,TRUE
2293-IJWPS,1,Male,NA,Yes,NA,Yes,No,0,1,United States,California,Lucerne Valley,92356,"34.508417, -116.856103",34.508417,-116.856103,467,5256,1,1,Q3,Yes,3,4,NA,Yes,9.56,Yes,NA,Fiber Optic,NA,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,NA,385.9,0,0,38.24,424.14,Competitor,NA,TRUE
2223-KAGMX,1,Male,61,No,No,No,No,0,1,United States,NA,NA,92358,"34.238162, -117.534306",34.238162,NA,468,1090,1,1,Q3,No,0,7,None,Yes,47.03,Yes,Yes,Fiber Optic,2,No,Yes,NA,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.8,673.25,0,10,329.21,1012.46,NA,NA,TRUE
7278-CKDNC,1,Male,25,NA,No,NA,No,0,1,United States,California,Redlands,92373,"34.003243, -117.138286",34.003243,-117.138286,476,31230,NA,1,Q3,No,NA,1,None,Yes,47.22,No,Yes,Cable,53,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55,55,0,NA,47.22,102.22,Competitor,NA,TRUE
3649-JPUGY,1,Female,NA,No,NA,Yes,No,0,1,United States,California,Rialto,92377,NA,NA,-117.404686,479,18518,1,1,Q3,No,0,1,None,Yes,21.91,No,NA,Fiber Optic,8,No,Yes,No,NA,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,0,0,21.91,NA,NA,NA,TRUE
4385-GZQXV,1,Male,52,No,No,No,NA,0,1,United States,NA,Running Springs,92382,"34.186211, -117.07683",34.186211,NA,480,5395,NA,1,Q3,NA,0,24,Offer C,Yes,49.3,Yes,Yes,Fiber Optic,20,No,Yes,No,NA,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.25,1861.5,0,0,1183.2,3044.7,NA,NA,TRUE
4361-BKAXE,1,NA,40,No,No,No,No,0,1,United States,California,Victorville,92392,"34.486835, -117.362274",34.486835,-117.362274,484,63235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
6195-MELTI,1,Female,32,NA,NA,Yes,No,0,1,United States,NA,San Bernardino,NA,"34.105935, -117.2914",NA,-117.2914,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction,NA,TRUE
6635-CPNUN,NA,Male,32,No,No,No,No,0,NA,United States,California,NA,92410,"34.106922, -117.297553",34.106922,-117.297553,494,44556,1,1,Q3,NA,NA,1,None,Yes,14.02,Yes,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,74.35,74.35,0,0,14.02,88.37,Competitor,NA,TRUE
0567-GGCAC,1,NA,51,No,No,No,No,0,NA,NA,California,Riverside,92506,"33.930931, -117.361788",33.930931,-117.361788,500,42425,3,1,Q3,No,0,22,NA,NA,0,No,Yes,DSL,NA,No,NA,Yes,No,No,Yes,NA,Yes,One Year,Yes,Bank Withdrawal,43.75,903.6,0,0,0,903.6,Dissatisfaction,NA,TRUE
6988-CJEYV,1,Female,49,No,No,No,No,0,1,United States,California,March Air Reserve Base,NA,"33.888323, -117.277533",33.888323,-117.277533,NA,NA,1,1,NA,No,0,12,NA,Yes,16.07,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,NA,99.7,1238.45,0,0,192.84,NA,NA,NA,TRUE
9661-MHUMO,1,Male,49,No,No,Yes,No,0,1,United States,NA,Homeland,92548,"33.761894, -117.120868",33.761894,-117.120868,512,4283,2,1,Q3,Yes,4,2,None,NA,18.79,No,NA,Fiber Optic,NA,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,167.5,0,0,37.58,205.08,Other,NA,TRUE
3457-PQBYH,1,Female,64,No,NA,Yes,No,NA,1,NA,NA,Idyllwild,92549,"33.755039, -116.741796",33.755039,-116.741796,513,3588,NA,1,NA,Yes,1,6,None,Yes,36.12,Yes,Yes,Fiber Optic,23,No,NA,No,Yes,No,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,80.5,502.85,0,0,216.72,NA,Price,NA,TRUE
9479-HYNYL,1,Female,47,No,NA,No,No,NA,1,United States,California,NA,92586,"33.707483, -117.200006",33.707483,-117.200006,528,18161,1,1,Q3,No,0,23,Offer D,Yes,27.61,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,1758.6,0,0,635.03,2393.63,Dissatisfaction,NA,TRUE
8178-EYZUO,NA,NA,22,Yes,No,Yes,No,0,1,United States,California,Sun City,92587,"33.69887, -117.25071",33.69887,-117.25071,529,13151,3,1,NA,Yes,2,34,Offer C,Yes,23.09,Yes,Yes,Fiber Optic,52,No,No,Yes,NA,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.05,NA,0,20,NA,4285.06,NA,TRUE,NA
0516-VRYBW,1,Female,NA,No,No,No,NA,0,NA,United States,California,Irvine,92612,"33.643095, -117.810896",33.643095,NA,539,41062,3,1,Q3,No,0,1,NA,Yes,30.52,Yes,Yes,Fiber Optic,30,No,No,No,NA,No,Yes,Yes,NA,Month-to-Month,Yes,Bank Withdrawal,NA,85,0,0,30.52,115.52,Other,NA,TRUE
8414-MYSHR,1,Male,33,No,No,No,No,0,1,NA,California,Lake Forest,92630,NA,33.644849,-117.684254,548,59176,3,1,Q3,No,0,NA,Offer D,NA,5.92,Yes,NA,Fiber Optic,11,NA,No,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.05,834.1,NA,0,59.2,NA,Other,NA,TRUE
6996-KNSML,1,Male,NA,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,No,0,13,Offer D,No,NA,NA,Yes,DSL,17,NA,No,No,Yes,Yes,No,No,Yes,Month-to-Month,NA,Credit Card,45.55,597,0,0,0,597,Dissatisfaction,NA,TRUE
0804-YGEQV,1,Male,29,Yes,No,Yes,No,0,1,United States,California,Huntington Beach,92648,NA,33.679659,-118.016195,551,42663,1,NA,Q3,Yes,5,39,Offer C,Yes,40.25,No,Yes,Fiber Optic,19,NA,Yes,No,No,Yes,No,No,NA,Month-to-Month,Yes,NA,86.3,3266,0,0,1569.75,4835.75,NA,NA,TRUE
4751-ERMAN,1,Male,31,No,No,No,No,0,1,United States,California,Newport Beach,92661,"33.601309, -117.902304",33.601309,NA,559,4242,NA,1,Q3,No,0,32,Offer C,NA,1.49,Yes,Yes,Fiber Optic,21,No,NA,No,No,No,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,2596.15,NA,0,47.68,2643.83,Competitor,NA,TRUE
8263-QMNTJ,1,Female,44,No,No,NA,NA,0,1,United States,California,Santa Ana,92701,"33.748478, -117.858918",33.748478,-117.858918,573,58157,NA,1,Q3,No,0,NA,Offer C,Yes,10.49,Yes,Yes,Fiber Optic,17,No,No,Yes,No,Yes,Yes,Yes,NA,Month-to-Month,NA,Bank Withdrawal,NA,3527.6,NA,NA,367.15,3894.75,Competitor,NA,TRUE
4255-DDUOU,1,Male,50,No,No,Yes,No,0,1,United States,California,Santa Ana,NA,"33.714829, -117.872941",33.714829,-117.872941,NA,NA,2,NA,Q3,Yes,2,56,None,Yes,26.15,Yes,Yes,NA,7,No,Yes,NA,No,Yes,Yes,Yes,NA,One Year,No,Credit Card,100.3,5614.45,0,100,1464.4,7178.85,Competitor,NA,TRUE
8098-LLAZX,1,Female,48,No,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,Yes,1,12,Offer D,Yes,19.48,No,No,None,NA,No,NA,No,No,No,No,NA,NA,Month-to-Month,No,Credit Card,19,233.55,0,0,233.76,467.31,Competitor,NA,TRUE
3583-EKAPL,1,Female,28,Yes,No,No,No,0,1,United States,California,Anaheim,92806,"33.83796, -117.870494",33.83796,-117.870494,586,34398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
2081-VEYEH,1,Female,52,No,No,No,No,0,NA,United States,California,NA,92860,"33.925833, -117.559639",33.925833,NA,600,22443,1,1,Q3,NA,0,12,Offer D,Yes,36.24,NA,Yes,DSL,30,Yes,NA,NA,Yes,NA,No,No,Yes,Month-to-Month,Yes,NA,61.65,713.75,0,0,434.88,1148.63,NA,NA,TRUE
6158-DWPZT,1,Male,32,No,No,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,Yes,1,NA,Offer E,No,0,No,Yes,NA,9,No,Yes,No,No,No,No,No,No,NA,Yes,NA,29.95,NA,0,10,0,258.95,Competitor,NA,TRUE
1028-FFNJK,1,NA,20,Yes,NA,Yes,No,0,1,United States,California,Ventura,NA,"34.279221, -119.221437",34.279221,-119.221437,NA,NA,1,1,Q3,Yes,1,9,Offer E,Yes,6.35,No,NA,Cable,NA,Yes,Yes,Yes,Yes,No,NA,No,Yes,Month-to-Month,No,Mailed Check,65,663.05,NA,0,57.15,720.2,NA,NA,TRUE
3655-SNQYZ,1,NA,20,Yes,No,Yes,No,0,1,United States,California,Santa Barbara,93110,"34.437945, -119.77191",34.437945,-119.77191,640,15757,1,NA,Q3,Yes,7,65,None,Yes,34.14,Yes,Yes,Fiber Optic,26,No,Yes,Yes,NA,Yes,NA,Yes,NA,NA,NA,Bank Withdrawal,NA,6985.65,NA,0,2219.1,9204.75,Competitor,NA,TRUE
1644-IRKSF,1,NA,26,Yes,No,Yes,No,0,1,United States,California,Armona,93202,"36.315979, -119.710852",NA,NA,644,2872,3,1,Q3,NA,1,10,Offer D,NA,NA,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,20.2,975.5,Competitor,NA,TRUE
0363-SVHYR,1,Female,57,No,NA,Yes,No,0,1,United States,California,Avenal,NA,"35.916943, -120.129921",35.916943,-120.129921,NA,NA,2,1,Q3,Yes,NA,43,None,Yes,37.25,No,Yes,DSL,20,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,56.15,NA,0,0,1601.75,4101.05,Other,NA,TRUE
7176-WIONM,1,NA,NA,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,No,NA,NA,Offer E,Yes,42.46,NA,Yes,Cable,27,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,89.55,0,0,42.46,132.01,NA,TRUE,NA
5248-YGIJN,1,Male,57,No,No,No,No,0,1,United States,California,Coalinga,93210,"36.186867, -120.387793",36.186867,-120.387793,651,18036,3,1,NA,No,0,1,Offer E,Yes,5.55,No,NA,DSL,13,No,NA,NA,NA,No,No,No,Yes,NA,NA,Mailed Check,45.7,45.7,0,0,5.55,51.25,Competitor,NA,TRUE
1226-UDFZR,1,Female,30,No,No,No,No,0,1,United States,California,Earlimart,93219,"35.858054, -119.305858",35.858054,-119.305858,656,9318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
1862-SKORY,1,Female,23,Yes,No,No,No,0,1,United States,California,Exeter,93221,"36.301689, -119.018233",36.301689,-119.018233,657,13333,NA,1,Q3,No,0,1,Offer E,Yes,22.16,No,Yes,Fiber Optic,47,No,NA,Yes,No,No,No,No,No,Month-to-Month,Yes,NA,74.6,NA,0,NA,22.16,106.76,Competitor,NA,TRUE
2830-LEWOA,1,Male,40,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Q3,Yes,2,2,Offer E,Yes,15.14,No,No,None,0,NA,No,No,No,NA,No,No,No,One Year,No,Mailed Check,19.85,35.9,0,0,30.28,66.18,Attitude,NA,TRUE
1379-FRVEB,1,Female,52,NA,No,No,No,NA,1,United States,California,Lemon Cove,NA,"36.462671, -118.997291",36.462671,-118.997291,NA,NA,NA,1,Q3,No,NA,2,Offer E,Yes,7.64,No,Yes,NA,NA,No,No,No,NA,NA,NA,No,Yes,Month-to-Month,No,Bank Withdrawal,69.65,145.15,0,0,15.28,160.43,NA,NA,TRUE
3154-CFSZG,1,Female,47,NA,No,No,No,0,1,United States,California,Lindsay,NA,"36.205465, -119.085807",36.205465,-119.085807,NA,NA,NA,1,Q3,No,0,4,None,Yes,45.4,No,Yes,DSL,27,No,NA,No,No,No,No,No,Yes,NA,No,Mailed Check,45.65,191.05,0,0,NA,372.65,Competitor,NA,TRUE
2676-ISHSF,1,Female,23,Yes,No,No,No,0,1,United States,NA,Temecula,92592,"33.507255, -117.029473",33.507255,-117.029473,532,46171,NA,1,NA,No,0,1,Offer E,NA,32.86,Yes,Yes,Fiber Optic,58,NA,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,75.05,75.05,0,0,32.86,107.91,Competitor,NA,TRUE
7096-UCLNH,NA,Female,19,NA,No,No,No,0,NA,NA,California,Posey,93260,"35.861928, -118.636698",35.861928,-118.636698,683,266,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
5473-KHBPS,1,Male,48,NA,No,Yes,No,0,1,United States,California,Shafter,93263,"35.490705, -119.286833",35.490705,NA,686,15177,1,1,Q3,Yes,1,1,Offer E,Yes,35.71,No,Yes,Cable,3,NA,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,80,80,NA,0,35.71,115.71,Competitor,NA,TRUE
2952-QAYZF,1,NA,63,NA,No,No,No,0,1,United States,California,San Diego,NA,NA,32.961064,-117.134917,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
6728-CZFEI,1,Male,23,Yes,No,Yes,NA,0,1,United States,California,NA,92129,"32.961064, -117.134917",32.961064,-117.134917,379,47224,1,NA,Q3,Yes,1,3,NA,Yes,13.54,No,Yes,Cable,51,No,No,Yes,NA,No,No,No,Yes,Month-to-Month,NA,NA,50.15,168.15,0,0,40.62,208.77,NA,NA,TRUE
0810-DHDBD,1,Male,27,Yes,No,NA,No,0,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,47224,2,1,Q3,No,0,1,None,Yes,38.44,No,No,None,NA,No,No,No,No,No,No,No,No,Month-to-Month,No,NA,19.55,19.55,NA,0,38.44,57.99,NA,NA,TRUE
4554-YGZIH,1,Female,48,No,No,Yes,No,0,NA,NA,California,San Diego,NA,"32.961064, -117.134917",32.961064,-117.134917,NA,NA,NA,1,Q3,Yes,1,NA,None,Yes,4.14,Yes,Yes,Fiber Optic,30,No,No,No,No,No,Yes,Yes,Yes,NA,Yes,Bank Withdrawal,85.95,381.3,0,0,16.56,NA,Competitor,NA,TRUE
5018-GWURO,NA,Male,26,Yes,No,No,No,0,1,NA,NA,NA,92129,NA,32.961064,-117.134917,379,47224,NA,1,Q3,No,0,3,None,Yes,36.48,No,Yes,DSL,59,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.35,141.5,0,0,109.44,250.94,NA,TRUE,NA
7833-PKIHD,1,Female,29,Yes,No,No,No,0,1,NA,California,NA,92129,"32.961064, -117.134917",32.961064,-117.134917,379,47224,1,NA,Q3,No,0,45,None,Yes,4.48,Yes,Yes,Cable,51,No,No,Yes,Yes,No,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,3941.7,NA,0,201.6,NA,Competitor,NA,TRUE
5915-ANOEI,1,NA,51,No,NA,No,No,0,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,379,47224,1,1,Q3,No,0,10,NA,Yes,27.57,Yes,Yes,NA,NA,Yes,No,No,No,NA,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.55,1008.55,0,0,275.7,1284.25,Competitor,NA,TRUE
6976-BWGLQ,1,Female,37,No,No,No,No,NA,1,United States,California,Keene,NA,NA,NA,-118.59049,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,TRUE
1090-PYKCI,NA,Female,38,No,No,No,No,0,1,NA,NA,Lancaster,93535,"34.712708, -117.889656",34.712708,-117.889656,770,57794,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
4589-IUAJB,1,Male,31,No,No,Yes,No,0,1,United States,California,Lancaster,93536,"34.741406, -118.38111",34.741406,-118.38111,771,49309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
6752-APNJL,1,Male,49,No,No,No,No,0,NA,United States,California,Palmdale,93552,"34.557711, -118.029441",34.557711,-118.029441,780,25370,1,1,Q3,No,0,NA,None,Yes,48.93,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1444.65,0,0,733.95,2178.6,NA,NA,TRUE
5295-PCJOO,1,Female,45,No,No,No,No,0,1,United States,California,Pearblossom,93553,"34.445239, -117.894868",34.445239,-117.894868,781,1613,2,1,Q3,NA,0,1,None,Yes,NA,No,No,None,0,No,No,No,No,NA,NA,No,No,Month-to-Month,No,Mailed Check,NA,19.9,0,NA,49.51,69.41,Attitude,NA,TRUE
5181-OABFK,1,Female,37,No,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,Yes,1,5,None,Yes,41.57,No,Yes,Cable,NA,Yes,No,Yes,No,NA,Yes,NA,Yes,Month-to-Month,Yes,Mailed Check,88.9,454.15,0,0,207.85,662,NA,NA,TRUE
8709-KRDVL,1,Male,24,Yes,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
5043-TRZWM,1,Male,42,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Q3,NA,0,2,None,Yes,NA,NA,NA,Fiber Optic,14,No,Yes,No,No,No,No,No,NA,Month-to-Month,Yes,NA,82,184.65,0,0,NA,267.01,NA,TRUE,NA
1154-HYWWO,1,Male,63,No,No,No,NA,0,1,United States,California,Palmdale,93591,"34.598221, -117.79593",34.598221,-117.79593,788,6787,NA,1,Q3,NA,0,2,None,NA,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,NA,0,NA,140.48,Competitor,NA,TRUE
7721-JXEAW,1,Female,NA,NA,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,No,0,1,None,Yes,34.04,NA,Yes,DSL,23,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,52.2,52.2,0,0,34.04,86.24,Competitor,NA,TRUE
3372-KWFBM,1,Male,58,No,No,NA,No,0,1,United States,California,Five Points,93624,NA,36.397745,NA,808,1852,NA,1,Q3,No,0,62,Offer B,Yes,22.64,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.75,6125.4,0,0,1403.68,7529.08,Attitude,NA,TRUE
9786-IJYDL,1,Female,33,No,No,NA,No,0,1,United States,California,Friant,NA,"37.027663, -119.69056",NA,-119.69056,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
6384-VMJHP,1,Male,54,No,No,Yes,NA,0,1,United States,California,Madera,93637,NA,NA,-120.194274,817,28434,1,1,Q3,Yes,NA,NA,Offer B,Yes,22.56,Yes,Yes,NA,4,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,Yes,NA,101.3,4113.1,NA,NA,902.4,5015.5,Competitor,NA,TRUE
8496-DMZUK,1,Male,27,NA,No,No,No,0,NA,NA,California,Madera,93638,"37.004068, -119.930027",37.004068,-119.930027,818,49247,2,1,Q3,No,0,1,Offer E,Yes,49.43,No,Yes,Fiber Optic,48,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,69.55,0,0,49.43,118.98,Attitude,NA,TRUE
4495-LHSSK,NA,Male,20,Yes,No,No,No,0,1,NA,California,Escondido,92027,"33.141265, -116.967221",33.141265,-116.967221,327,48690,1,1,Q3,No,0,58,Offer B,Yes,44.5,Yes,Yes,Fiber Optic,47,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.25,6017.65,0,0,2581,8598.65,NA,TRUE,NA
0975-VOOVL,1,Male,25,Yes,No,No,No,0,1,United States,California,Miramonte,93641,"36.696759, -119.024051",NA,-119.024051,820,571,1,1,Q3,No,NA,70,Offer A,NA,NA,NA,Yes,Fiber Optic,42,NA,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104,7250.15,0,0,853.3,8103.45,Attitude,NA,TRUE
6583-SZVGP,1,Female,62,No,No,No,No,0,1,United States,California,Orosi,NA,"36.600185, -119.175655",36.600185,-119.175655,NA,NA,NA,1,Q3,No,0,NA,Offer E,Yes,24.05,No,Yes,Fiber Optic,27,No,No,Yes,No,No,Yes,Yes,Yes,NA,Yes,Mailed Check,86.2,178.7,0,0,48.1,226.8,NA,TRUE,NA
3027-ZTDHO,1,NA,24,Yes,NA,Yes,NA,0,NA,United States,NA,Fresno,93650,"36.841655, -119.797113",36.841655,-119.797113,827,3258,3,1,Q3,Yes,1,21,NA,Yes,36.26,Yes,Yes,Fiber Optic,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,NA,111.2,2317.1,0,120,761.46,3198.56,Attitude,NA,TRUE
4431-EDMIQ,1,Male,NA,NA,No,Yes,No,0,NA,United States,California,South Dos Palos,93665,"36.959731, -120.653519",36.959731,NA,837,343,3,1,Q3,Yes,1,60,NA,Yes,33.25,NA,Yes,Fiber Optic,52,No,Yes,NA,No,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,90.95,5453.4,0,0,1995,7448.4,Other,NA,TRUE
7743-EXURX,1,Female,NA,No,No,Yes,No,NA,1,United States,California,Tollhouse,93667,"36.993666, -119.348267",NA,-119.348267,839,2633,2,NA,Q3,Yes,NA,50,Offer B,Yes,29.43,Yes,NA,Fiber Optic,14,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,108.55,5610.7,0,NA,1471.5,7082.2,Other,NA,TRUE
6927-WTFIV,1,Male,45,No,No,No,No,0,1,United States,California,Fresno,93703,"36.768774, -119.762633",36.768774,-119.762633,846,31180,1,1,Q3,No,0,1,NA,NA,32.44,No,Yes,NA,NA,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,44.4,44.4,NA,0,32.44,76.84,NA,TRUE,NA
5076-YVXCM,NA,Female,59,NA,No,Yes,No,0,NA,United States,California,Fresno,93711,"36.833002, -119.82947",36.833002,-119.82947,851,36274,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attitude,NA,TRUE
8992-OBVDG,1,Male,NA,Yes,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,No,0,NA,NA,Yes,32.85,No,Yes,Fiber Optic,53,No,No,NA,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.9,NA,NA,0,32.85,122.75,NA,NA,TRUE
4958-GZWIY,1,Female,NA,No,No,No,No,0,NA,United States,California,Escondido,92027,"33.141265, -116.967221",33.141265,-116.967221,327,48690,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor,NA,TRUE
8663-UPDGF,1,Male,58,No,No,No,No,NA,1,United States,California,Carmel,93923,NA,36.460611,-121.852507,866,13121,1,1,Q3,No,0,1,Offer E,Yes,1.28,No,Yes,NA,27,No,Yes,NA,No,No,No,No,Yes,Month-to-Month,No,NA,50.8,50.8,NA,0,1.28,52.08,Competitor,NA,TRUE
