gender,age,married,num_depen,lat,long,pop,score,num_ref,mult_line,offer,phon_serv,int_serv,int_type,onl_sec,onl_back,dev_prot,premium,str_tv,str_movie,str_music,contract,paperless,payment,tenure_month,month_charge,unlimite,avg_gb,avg_long_dist,t_charge,t_refund,t_extra,t_long_dist,t_revenue,churn
Female,70,Yes,0,37.255637,-120.493537,59289,4,0,No,None,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Two Year,No,Credit Card,64,70.65,Yes,12,6.18,282.6,0,0,24.72,307.32,0
Male,69,No,0,37.40122,-120.514191,23100,4,0,No,Offer E,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,4,70.65,Yes,12,6.18,282.6,0,0,24.72,307.32,0
Female,75,Yes,1,37.670526,-120.877572,13343,3,3,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Credit Card,59,88.75,Yes,26,16.15,5348.65,0,0,952.85,6301.5,0
Male,78,No,0,37.750778,-121.13238,12646,3,0,Yes,None,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,No,Month-to-Month,No,Credit Card,35,90.87142857,No,19,26.19,3180.5,0,40,916.65,4137.15,0
Male,68,Yes,0,37.750778,-121.13238,12646,4,2,No,None,Yes,No,None,No,No,No,No,No,No,No,Two Year,Yes,Mailed Check,54,18.95,No,0,23.94,1031.1,0,0,1292.76,2323.86,0
Female,66,No,0,37.669516,-120.626964,8308,4,0,Yes,None,Yes,Yes,Cable,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,42,55.65,Yes,30,27,2421.75,0,0,1134,3555.75,0
Female,78,No,0,33.141265,-116.967221,48690,4,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,18,74.7,No,22,21.09,1294.6,0,20,379.62,1694.22,0
Female,72,No,0,37.327069,-121.916819,27023,4,0,No,None,Yes,No,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,56,100.6,No,22,44.1,3270.25,0,0,1455.3,4725.55,0
Male,67,Yes,0,38.911299,-123.609588,1352,5,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,54,99.05,No,13,38.48,5295.7,0,40,2077.92,7413.62,0
Male,73,No,0,39.222323,-122.985488,240,3,2,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Mailed Check,69,110.55,Yes,14,8.3,7610.1,0,0,572.7,8182.8,0
Female,68,No,0,39.955587,-123.681175,200,4,0,Yes,None,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,67,54.9,Yes,28,48.43,3725.5,0,0,3244.81,6970.31,0
Female,72,No,0,38.69508,-121.271616,43718,4,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,55,100.15,Yes,3,29.6,5409.75,0,0,1628,7037.75,0
Female,76,Yes,0,38.69549,-121.307864,41636,4,4,No,Offer B,No,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,54,24.95,Yes,4,0,1364.75,0,0,0,1364.75,0
Female,68,No,0,38.674276,-121.961866,844,4,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,5,105.05,Yes,11,34.23,7171.7,0,0,2293.41,9465.11,0
Male,76,Yes,0,38.71967,-121.862416,38547,5,2,Yes,Offer B,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,65,104.35,Yes,7,8.59,6578.55,0,0,558.35,7136.9,0
Female,74,No,0,38.550722,-121.457314,14966,4,0,Yes,Offer B,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,60,101.4,Yes,11,48.92,6176.6,0,0,2935.2,9111.8,0
Female,71,No,0,38.512569,-121.495184,44683,3,0,Yes,Offer B,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,No,Credit Card,63,83,Yes,18,15.62,5243.05,0,0,984.06,6227.11,0
Male,77,Yes,0,38.494832,-121.529447,42832,3,7,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,69,84.9,No,14,14.76,5785.65,0,0,1018.44,6804.09,0
Male,71,Yes,1,39.273096,-122.050763,7503,3,1,Yes,Offer B,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,58,89.85,No,10,18.43,5125.75,0,130,1068.94,6324.69,0
Male,77,No,2,37.830267,-121.201018,36738,3,0,No,None,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,66,116.25,Yes,10,3.27,7862.25,0,0,215.82,8078.07,0
Male,72,Yes,0,40.160386,-120.835428,2064,4,1,No,Offer B,No,Yes,DSL,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,51,29.45,Yes,21,0,1459.35,0,0,0,1459.35,0
Male,69,No,0,39.258746,-121.77697,8695,3,0,Yes,Offer B,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,50,70.35,No,23,25.23,3454.6,0,100,1261.5,4816.1,0
Female,77,No,0,38.470423,-121.114897,4731,4,0,No,Offer D,Yes,No,None,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,18,20.35,No,0,37.53,369.6,0,0,675.54,1045.14,0
Male,72,Yes,0,41.750354,-120.403885,104,3,8,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,28,107.0714286,Yes,15,24.35,2998,0,0,681.8,3679.8,0
Female,72,No,0,41.750354,-120.403885,104,4,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Two Year,No,Bank Withdrawal,40,90.1,Yes,4,40,816.8,0,0,360,1176.8,0
Female,66,No,0,41.750354,-120.403885,104,5,0,Yes,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,9,90.1,Yes,4,40,816.8,0,0,360,1176.8,0
Male,78,No,0,34.017697,-118.200577,47487,3,0,Yes,None,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,1,84.1,Yes,28,47.4,6129.65,0,0,3412.8,9542.45,0
Female,72,No,0,34.017697,-118.200577,47487,3,5,Yes,None,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,72,84.1,Yes,28,47.4,6129.65,0,0,3412.8,9542.45,0
Male,68,No,0,34.066303,-118.435479,44150,4,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,32,74.6,No,17,39.51,239.05,0,30,118.53,387.58,0
Female,78,No,0,34.102084,-118.451629,10470,4,0,Yes,Offer C,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35,99.05,Yes,7,31.64,3554.6,0,0,1107.4,4662,0
Female,70,Yes,0,33.936291,-118.332639,27778,3,9,Yes,None,Yes,No,None,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,72,25.7,No,0,8.48,1937.4,0,0,610.56,2547.96,0
Male,66,No,0,33.945318,-117.992066,19109,3,0,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,68,95.63529412,Yes,28,19.67,6503.2,0,0,1337.56,7840.76,0
Female,67,Yes,0,33.945318,-117.992066,19109,3,8,Yes,None,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Credit Card,67,107.05,Yes,9,38.47,7142.5,0,0,2577.49,9719.99,0
Female,65,Yes,0,33.859171,-118.252272,25566,3,8,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,22,89.75,Yes,14,22.38,1938.9,0,0,492.36,2431.26,0
Male,74,Yes,3,33.823943,-118.111335,37417,4,1,Yes,None,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,One Year,Yes,Bank Withdrawal,71,72.9,No,20,46.11,5175.9,0,20,3273.81,8469.71,0
Male,72,No,0,34.2112,-118.230625,7527,4,0,Yes,Offer B,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,57,79.75,Yes,29,9.1,4438.2,0,0,518.7,4956.9,0
Female,69,Yes,0,34.168686,-118.057505,10558,4,9,No,Offer B,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Two Year,Yes,Credit Card,62,79.95,Yes,29,24.62,4819.75,0,0,1526.44,6346.19,0
Female,72,Yes,0,34.370378,-118.504118,30742,4,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34,83.95777778,No,20,1.27,3778.1,0,50,22.86,4014.4,0
Female,65,No,0,34.202494,-118.448048,51348,4,0,Yes,None,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,18,103.6,No,11,1.27,1806.35,0,10,22.86,1839.21,0
Male,69,No,0,34.152875,-118.486056,13129,5,0,No,None,Yes,Yes,Cable,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,6,79.7,Yes,11,48.32,497.6,0,0,289.92,787.52,0
Male,71,No,0,34.139082,-118.39275,26157,5,0,No,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,1,45.85,Yes,6,40.38,45.85,0,0,40.38,86.23,0
Female,68,No,0,34.067932,-117.785168,36057,4,0,Yes,None,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Credit Card,71,99.65,Yes,12,3.91,7181.25,0,0,277.61,7458.86,0
Male,69,No,0,32.636792,-117.054989,74025,4,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,52,94,Yes,21,4.060384615,4905.75,0,0,211.14,5116.89,0
Female,75,Yes,0,32.64164,-116.985026,12884,4,1,Yes,None,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,No,No,One Year,Yes,Credit Card,56,68.45,Yes,18,26.82,4014,0,0,1501.92,5515.92,0
Male,79,No,0,33.22784,-117.200024,44692,3,0,Yes,Offer A,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,67,64.55,Yes,11,28.88,4250.1,0,0,1934.96,6185.06,0
Female,72,Yes,0,32.89325,-117.087091,29283,3,1,No,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,One Year,Yes,Bank Withdrawal,53,94,Yes,25,47.64,4871.45,0,0,2524.92,7396.37,0
Male,72,No,0,32.89325,-117.087091,29283,3,0,Yes,Offer C,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,35,108.35,Yes,3,10.73,3726.15,0,0,375.55,4101.7,0
Male,78,No,0,34.137742,-114.36514,1564,5,8,No,Offer A,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,72,63.1,Yes,26,0,4685.55,0,0,0,4685.55,0
Female,77,Yes,0,34.273872,-114.192901,131,4,2,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,63,103.5,Yes,2,18.14,6479.4,0,0,1142.82,7622.22,0
Female,75,No,0,33.849263,-116.382778,6242,5,0,No,None,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,6,44.4,Yes,24,0,263.05,0,0,0,263.05,0
Male,67,Yes,0,34.457829,-116.139589,14104,4,2,Yes,None,Yes,Yes,Cable,Yes,Yes,No,No,No,No,No,One Year,No,Credit Card,55,60,Yes,23,9.08,3316.1,0,0,499.4,3815.5,0
Male,37,No,0,33.964131,-118.272783,58198,1,0,No,None,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,2,53.85,Yes,21,10.47,108.15,0,0,20.94,129.09,1
Female,24,No,2,34.059281,-118.30742,43019,2,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,70.7,Yes,51,9.12,151.65,0,0,18.24,169.89,5
Female,23,Yes,3,34.062125,-118.315709,1957,1,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,28,104.8,Yes,47,4.89,3046.05,0,0,136.92,3182.97,5
Male,38,No,1,34.039224,-118.266293,15140,1,0,Yes,None,Yes,No,None,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,21,20.15,No,0,33.58,20.15,0,0,33.58,53.73,1
Male,29,No,0,34.066303,-118.435479,44150,1,0,No,None,Yes,No,None,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,1,20.15,No,0,33.58,20.15,0,0,33.58,53.73,1
Female,24,No,0,34.078821,-118.177576,46960,1,0,No,None,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,17,64.7,Yes,41,40.55,1093.1,0,0,689.35,1782.45,1
Male,47,No,3,34.110845,-118.259595,29310,1,0,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,5,69.7,Yes,18,12.6,316.9,0,0,63,379.9,1
Female,47,No,1,33.92128,-118.274186,24511,1,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,14,94.4,Yes,29,27.21,857.25,0,0,244.89,1102.14,1
Female,41,Yes,2,34.063947,-118.383001,8321,3,0,No,None,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,9,94.4,Yes,29,27.21,857.25,0,0,244.89,1102.14,4
Female,34,Yes,5,33.923573,-118.200669,69850,1,1,No,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,7,75.15,No,53,8.69,496.9,0,0,60.83,557.73,2
Female,34,No,3,33.977468,-118.445475,18058,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,12,77.27916667,No,56,25.34,927.35,0,80,304.08,1311.43,3
Female,47,Yes,0,34.031529,-118.491156,23559,2,4,Yes,Offer A,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,68,110,Yes,47,14.79,7480,0,0,1005.72,8617.57,1
Male,21,No,2,33.940619,-117.9513,67354,1,0,Yes,Offer E,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,74.4,Yes,71,14.6,229.55,8.74,0,43.8,264.61,2
Male,24,Yes,0,33.391181,-118.421305,3699,1,6,No,Offer C,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,25,58.6,Yes,48,0,1502.65,4.48,0,0,1498.17,3
Male,64,No,0,33.798266,-118.300237,24660,3,0,No,Offer E,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,35.45,Yes,22,0,35.45,0,0,0,35.45,2
Female,53,No,0,33.736387,-118.284363,58639,1,0,Yes,Offer E,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,8,71.15,Yes,18,48.14,563.65,0,0,385.12,948.77,5
Female,63,Yes,0,33.822295,-118.26411,55486,1,0,No,Offer E,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,45.65,Yes,24,14.12,45.65,0,0,14.12,59.77,1
Female,32,No,4,33.783047,-118.1486,43467,1,0,Yes,Offer E,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,7,95,No,28,20.52,655.5,36.6,10,143.64,772.54,1
Female,26,Yes,1,34.296574,-118.244839,26753,1,5,Yes,None,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,20,82.4,Yes,51,36.6,1592.35,33.43,0,732,2290.92,4
Female,48,No,3,34.162515,-118.203869,31297,1,0,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,13,85.51153846,Yes,76,33.54,1111.65,48.25,0,436.02,1499.42,1
Female,29,Yes,0,34.182378,-118.262922,9864,2,4,No,None,No,Yes,DSL,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,24.8,Yes,29,0,24.8,0,0,0,24.8,2
Male,39,Yes,2,34.224377,-118.632656,49242,2,2,No,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,6,91,Yes,21,42.08,531,0,0,252.48,783.48,2
Female,39,No,2,34.364153,-118.615583,9937,2,0,No,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,4,70.15,Yes,17,29.4,268.35,21.69,0,117.6,364.26,5
Male,47,Yes,0,33.362575,-117.299644,42239,2,0,Yes,None,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Month-to-Month,No,Credit Card,32,84.6,Yes,11,26.85,84.6,0,0,26.85,111.45,1
Female,22,Yes,0,34.17847,-118.459472,23646,2,0,No,None,Yes,Yes,DSL,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,65,84.6,Yes,11,26.85,84.6,0,0,26.85,111.45,2
Male,40,No,1,34.213049,-118.317651,25882,2,0,No,None,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,1,84.6,Yes,11,26.85,84.6,0,0,26.85,111.45,2
Male,37,No,0,34.084747,-117.886844,17554,1,0,No,None,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,1,48.55,Yes,9,11.35,48.55,0,0,11.35,59.9,3
Female,47,Yes,0,34.079934,-118.046695,30211,1,2,No,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,2,70.4,Yes,21,46.23,147.15,0,0,92.46,239.61,2
Female,41,Yes,0,34.031441,-117.936436,84965,2,3,No,Offer E,Yes,Yes,Cable,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,2,44.6,Yes,16,30.19,80.55,0,0,60.38,140.93,4
Male,30,No,0,34.067932,-117.785168,36057,2,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,1,70.6,Yes,41,44.59,70.6,0,0,44.59,115.19,3
Female,54,No,0,32.85723,-117.209774,34902,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,2,80.6,Yes,20,5.32,161.2,5.4,0,10.64,166.44,1
Male,63,Yes,0,32.85723,-117.209774,34902,3,1,Yes,Offer A,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68,77.85220588,No,18,29.18,5293.95,0,90,1984.24,7368.19,1
Female,24,No,0,32.85723,-117.209774,34902,1,0,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,43,104.6,Yes,59,12.88,4759.85,0,0,553.84,5313.69,1
Male,54,No,0,32.85723,-117.209774,34902,3,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,5,96.5,Yes,8,20.86,492.55,0,0,104.3,596.85,1
Female,22,No,0,32.85723,-117.209774,34902,3,0,Yes,None,Yes,Yes,Cable,No,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,85.65,Yes,27,40.43,181.5,0,0,80.86,262.36,1
Female,48,Yes,0,32.85723,-117.209774,34902,3,0,No,None,Yes,No,DSL,No,No,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,1,50.65,No,59,14.78,50.65,0,0,14.78,65.43,1
Male,26,No,0,32.85723,-117.209774,34902,1,0,No,Offer E,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,1,50.65,Yes,59,14.78,50.65,0,0,14.78,65.43,1
Female,59,No,0,32.85723,-117.209774,34902,3,0,No,Offer E,Yes,No,None,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,1,19.9,No,0,36.63,19.9,0,0,36.63,56.53,1
Female,23,Yes,0,32.790282,-115.689559,1632,1,4,No,None,Yes,Yes,Cable,No,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,22,83.3,Yes,53,4.01,1845.9,0,0,88.22,1934.12,1
Male,49,No,0,33.362575,-117.299644,42239,3,0,No,None,Yes,Yes,DSL,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,12,45.4,Yes,14,11.12,518.9,0,0,133.44,652.34,1
Male,54,No,0,34.702766,-116.093376,23,1,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Two Year,No,Credit Card,1,69.55,Yes,13,29.78,69.55,0,0,29.78,99.33,1
Male,24,Yes,0,34.508417,-116.856103,5256,1,3,Yes,None,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,4,96.475,Yes,2,9.56,385.9,0,0,38.24,424.14,1
Male,25,No,0,34.003243,-117.138286,31230,1,0,No,None,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,55,Yes,53,47.22,55,0,0,47.22,102.22,1
Male,40,No,0,34.486835,-117.362274,63235,1,0,No,None,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72,74.35,Yes,2,14.02,74.35,0,0,14.02,88.37,1
Female,32,Yes,0,34.105935,-117.2914,1779,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,33,74.35,Yes,2,14.02,74.35,0,0,14.02,88.37,2
Male,32,No,0,34.106922,-117.297553,44556,1,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,1,74.35,Yes,2,14.02,74.35,0,0,14.02,88.37,1
Male,51,No,0,33.930931,-117.361788,42425,3,0,No,None,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,One Year,Yes,Bank Withdrawal,22,43.75,Yes,14,0,903.6,0,0,0,903.6,2
Male,49,Yes,0,33.761894,-117.120868,4283,2,4,No,None,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,94.2,Yes,23,18.79,167.5,0,0,37.58,205.08,5
Female,64,Yes,0,33.755039,-116.741796,3588,1,1,Yes,None,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,6,80.5,Yes,23,36.12,502.85,0,0,216.72,719.57,4
Female,47,No,0,33.707483,-117.200006,18161,1,0,Yes,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,23,75.6,Yes,23,27.61,1758.6,0,0,635.03,2393.63,2
Female,47,No,0,33.643095,-117.810896,41062,3,0,Yes,None,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,85,Yes,30,30.52,85,0,0,30.52,115.52,5
Male,33,No,0,33.644849,-117.684254,59176,3,0,Yes,Offer D,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,10,86.05,Yes,11,5.92,834.1,0,0,59.2,893.3,5
Male,47,No,0,33.679659,-118.016195,42663,1,0,No,Offer D,No,Yes,DSL,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Credit Card,13,45.55,Yes,17,0,597,0,0,0,597,2
Male,31,No,0,33.601309,-117.902304,4242,2,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,32,80.35,Yes,21,1.49,2596.15,0,0,47.68,2643.83,1
Female,44,No,0,33.748478,-117.858918,58157,2,0,Yes,Offer C,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35,100.7885714,No,17,10.49,3527.6,0,0,367.15,3894.75,1
Male,50,Yes,0,33.714829,-117.872941,62634,2,2,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,56,100.3,No,7,26.15,5614.45,0,100,1464.4,7178.85,1
Female,48,Yes,0,33.83796,-117.870494,34398,1,1,No,Offer D,Yes,No,None,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,12,19,No,30,19.48,233.55,0,0,233.76,467.31,1
Female,28,No,0,33.83796,-117.870494,34398,1,0,No,None,No,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,1,61.65,Yes,30,36.24,713.75,0,0,434.88,1148.63,1
Male,32,Yes,0,34.279221,-119.221437,46894,2,1,No,Offer E,No,Yes,Cable,No,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,4,29.95,No,9,0,248.95,0,10,0,258.95,1
Female,20,Yes,0,34.437945,-119.77191,15757,1,7,Yes,None,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,65,107.4715385,No,26,34.14,6985.65,0,0,2219.1,9204.75,1
Female,26,Yes,0,36.315979,-119.710852,2872,3,1,Yes,Offer D,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,10,85.25,No,82,2.02,855.3,0,100,20.2,975.5,1
Female,57,Yes,0,35.916943,-120.129921,14697,2,2,No,None,Yes,Yes,DSL,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,43,56.15,Yes,20,37.25,2499.3,0,0,1601.75,4101.05,5
Male,57,No,0,36.186867,-120.387793,18036,3,0,No,Offer E,Yes,Yes,DSL,No,No,No,Yes,No,No,No,Two Year,Yes,Mailed Check,1,45.7,Yes,13,5.55,45.7,0,0,5.55,51.25,1
Female,23,No,0,36.301689,-119.018233,13333,3,0,No,Offer E,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,74.6,No,47,22.16,74.6,0,10,22.16,106.76,1
