Customer ID,Count.x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count.y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,ID,Population,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
6202-DYYFX,1,Female,35,No,No,NA,No,0,1,United States,California,NA,95746,"38.749466, -121.184196",38.749466,-121.184196,1457,20675,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4821-SJHJV,1,Male,47,No,NA,Yes,No,NA,1,United States,California,Sacramento,95827,"38.549185, -121.328386",38.549185,-121.328386,1476,19611,3,1,Q3,Yes,1,72,None,Yes,NA,Yes,Yes,Fiber Optic,23,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,103.4,7372.65,0,0,221.04,NA,NA
0754-EEBDC,1,Female,NA,NA,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,No,0,13,None,Yes,21.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,NA,Yes,Bank Withdrawal,NA,NA,0,0,284.44,1343.04,Price
0556-FJEGU,1,Female,53,No,No,No,No,0,1,United States,California,Beale Afb,95903,"39.125311, -121.392283",39.125311,-121.392283,1493,5654,2,1,Q3,No,0,29,None,No,0,No,Yes,DSL,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,NA,30.6,NA,0,0,0,856.35,NA
4623-ZKHLY,1,NA,51,No,No,NA,No,0,1,United States,California,Camptonville,NA,"39.432127, -121.099287",39.432127,-121.099287,NA,NA,1,1,Q3,No,0,17,None,Yes,7.66,No,Yes,Fiber Optic,17,No,No,No,No,NA,NA,No,No,Month-to-Month,Yes,Bank Withdrawal,70,1144.5,0,80,130.22,NA,NA
9167-APMXZ,1,NA,NA,No,No,No,No,0,1,United States,NA,Challenge,95925,"39.461768, -121.195825",39.461768,-121.195825,1505,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
7722-CVFXN,1,Male,64,No,No,No,No,0,NA,United States,NA,Chico,95926,"39.745712, -121.84333",NA,-121.84333,1506,35808,NA,1,Q3,No,0,NA,None,No,0,No,Yes,Cable,11,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,NA,29.85,75.6,NA,0,0,75.6,NA
5172-MIGPM,1,Male,40,No,No,No,No,0,1,United States,California,Colusa,NA,"39.273096, -122.050763",39.273096,-122.050763,NA,NA,3,1,Q3,No,0,1,None,Yes,9.66,No,NA,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.8,19.8,0,0,NA,29.46,Price
4581-SSPWD,1,Female,36,No,No,No,No,NA,1,United States,California,NA,95936,NA,NA,-120.780786,1512,404,NA,1,Q3,No,0,4,None,Yes,24.09,No,Yes,Fiber Optic,17,No,Yes,No,No,NA,NA,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65,333.6,0,0,96.36,429.96000000000004,NA
9050-QLROH,1,Male,57,NA,NA,No,NA,0,1,NA,California,Grass Valley,95949,"39.099204, -121.137962",39.099204,-121.137962,1524,17922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
7318-EIVKO,NA,Male,53,No,No,Yes,No,0,1,United States,California,Grimes,95950,"39.033058, -121.895718",39.033058,-121.895718,1525,531,1,1,Q3,NA,1,18,None,Yes,NA,No,Yes,NA,NA,No,No,Yes,No,No,No,No,Yes,Month-to-Month,NA,Mailed Check,49.55,878.35,0,0,342.90000000000003,1221.25,Competitor
3801-HMYNL,NA,NA,55,No,No,No,No,0,1,United States,California,Palermo,95968,"39.435756, -121.552071",39.435756,NA,1539,1254,NA,1,Q3,NA,0,25,None,NA,5.27,No,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,Yes,NA,Month-to-Month,Yes,Bank Withdrawal,95.9,2448.75,0,0,131.75,2580.5,NA
4283-IVYCI,1,Male,40,No,No,NA,No,0,1,United States,California,Rough And Ready,95975,"39.225634, -121.156163",39.225634,-121.156163,1546,1601,1,1,Q3,Yes,1,52,None,Yes,38.37,NA,Yes,Fiber Optic,14,Yes,No,NA,No,Yes,No,No,Yes,NA,No,NA,84.1,4348.65,0,0,1995.2399999999998,6343.889999999999,NA
2656-FMOKZ,1,Female,NA,No,No,No,No,0,1,United States,California,Willows,95988,"39.493991, -122.286363",39.493991,-122.286363,1556,8812,3,NA,Q3,No,0,NA,None,Yes,37.79,No,NA,Cable,25,Yes,No,No,No,No,No,NA,No,NA,Yes,NA,49.85,365.55,13.01,10,302.32,664.86,Competitor
4662-EKDPQ,1,Female,22,Yes,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,Yes,1,22,None,Yes,35.04,No,Yes,DSL,76,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,NA,69.5,NA,NA,0,770.88,2219.51,NA
9248-OJYKK,1,Male,47,No,No,Yes,No,0,1,United States,California,Burney,96013,"40.946785, -121.719489",40.946785,-121.719489,1568,4552,1,1,Q3,Yes,1,54,NA,NA,35.46,Yes,Yes,Fiber Optic,23,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,5278.15,11.45,0,1914.8400000000001,7181.54,NA
3055-OYMSE,1,Female,49,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Q3,No,0,1,Offer E,Yes,16.15,Yes,Yes,Fiber Optic,12,No,No,NA,NA,Yes,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,NA,0,0,16.15,110,Competitor
7614-QVWQL,1,Female,NA,No,No,No,No,0,1,United States,NA,Klamath River,NA,"41.816595, -122.948287",41.816595,-122.948287,NA,NA,NA,NA,Q3,No,NA,12,None,Yes,12.75,Yes,Yes,Fiber Optic,NA,No,No,No,No,NA,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,1046.1,7.39,120,153,1311.7099999999998,Price
1658-XUHBX,1,Female,NA,NA,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,Yes,2,54,None,Yes,8.83,Yes,Yes,Fiber Optic,21,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,NA,Bank Withdrawal,NA,5763.3,0,0,476.82,6240.12,Dissatisfaction
7608-RGIRO,1,NA,33,NA,No,No,No,0,1,United States,California,Fallbrook,92028,"33.362575, -117.299644",33.362575,-117.299644,328,42239,1,1,NA,No,0,1,Offer E,Yes,16.81,No,NA,None,0,No,NA,No,No,No,No,No,No,Month-to-Month,No,NA,20.1,20.1,0,0,16.81,36.91,Competitor
8763-KIAFH,1,NA,45,No,No,Yes,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,No,0,23,None,Yes,38.81,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,No,NA,No,Yes,Month-to-Month,No,Bank Withdrawal,83.8,1900.25,0,0,892.6300000000001,NA,NA
9795-VOWON,1,Male,25,Yes,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,No,0,3,NA,Yes,22.77,No,Yes,NA,NA,No,No,No,NA,Yes,No,Yes,NA,NA,No,Credit Card,55.15,159.15,0,0,68.31,227.46,Dissatisfaction
7549-MYGPK,1,NA,46,No,No,No,No,0,1,United States,California,Weaverville,96093,NA,40.759401,-122.939337,1628,3749,1,NA,Q3,No,0,31,None,Yes,34.38,No,Yes,Fiber Optic,20,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.45,2435.15,0,40,NA,3540.9300000000003,Price
6693-FRIRW,1,Male,36,No,No,Yes,No,NA,NA,United States,California,Blairsden Graeagle,96103,"39.783747, -120.661032",NA,-120.661032,1633,1839,NA,1,Q3,Yes,1,NA,NA,Yes,11.24,No,Yes,NA,16,No,NA,No,NA,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.75,1974.8,0,0,NA,2300.7599999999998,NA
0750-EBAIU,1,Male,31,No,NA,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Q3,No,0,1,Offer E,Yes,9.81,Yes,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.7,81.7,0,0,9.81,91.51,Dissatisfaction
5160-UXJED,1,Male,37,No,No,No,No,0,1,United States,NA,Fort Bidwell,96112,"41.932207, -120.135941",41.932207,-120.135941,1641,231,2,1,Q3,No,0,33,None,Yes,28.84,No,Yes,Fiber Optic,23,No,No,No,No,NA,No,NA,Yes,Month-to-Month,No,Bank Withdrawal,68.25,2171.15,0,0,951.72,3122.87,Attitude
3748-FVMZZ,1,Male,29,Yes,No,Yes,No,0,NA,United States,California,Sierraville,96126,"39.559709, -120.345639",39.559709,-120.345639,1655,227,NA,1,Q3,Yes,NA,19,None,Yes,NA,Yes,Yes,Fiber Optic,51,No,No,No,Yes,Yes,NA,Yes,Yes,NA,Yes,Bank Withdrawal,100.95,1875.55,0,0,112.66999999999999,1988.22,Other
3597-MVHJT,1,Female,46,No,No,Yes,NA,NA,1,United States,California,Westwood,96137,"40.271535, -121.018087",NA,-121.018087,1662,4158,NA,NA,NA,Yes,NA,1,Offer E,Yes,16.55,NA,Yes,Fiber Optic,19,No,No,No,No,No,NA,NA,Yes,Month-to-Month,Yes,Credit Card,69.1,69.1,0,0,16.55,85.64999999999999,NA
7644-OMVMY,1,Male,53,NA,No,No,No,0,1,United States,California,South Lake Tahoe,96150,"38.911577, -120.106169",38.911577,-120.106169,1670,33038,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
0959-WHOKV,1,Female,31,No,No,No,No,0,1,United States,California,San Diego,NA,"32.957195, -117.202542",NA,-117.202542,NA,NA,2,1,Q3,No,0,4,None,NA,30.95,Yes,Yes,NA,26,No,NA,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,77.95,NA,0,0,123.8,429.35,Competitor
7590-VHVEG,1,Male,46,No,NA,No,No,0,1,United States,NA,Los Angeles,90016,"34.028331, -118.354338",34.028331,-118.354338,15,46984,3,1,Q3,No,0,10,Offer D,No,NA,No,Yes,NA,30,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,29.5,255.25,0,40,0,295.25,Dissatisfaction
8910-LEDAG,1,Female,NA,No,No,No,No,0,1,United States,California,Los Angeles,90017,"34.052842, -118.264495",34.052842,-118.264495,16,20692,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Attitude
7310-EGVHZ,1,NA,19,Yes,No,No,No,0,1,United States,California,Los Angeles,90023,"34.017697, -118.200577",34.017697,-118.200577,22,47487,1,1,Q3,No,0,4,None,NA,6.91,Yes,Yes,NA,NA,No,No,NA,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,338.9,0,0,NA,366.53999999999996,Dissatisfaction
1734-ZMNTZ,1,Female,36,No,No,No,No,0,1,United States,California,Los Angeles,90037,"34.002642, -118.287596",34.002642,-118.287596,35,56709,1,1,Q3,No,0,12,Offer D,Yes,17.46,No,NA,Fiber Optic,9,NA,No,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Bank Withdrawal,89.4,1095.65,0,0,NA,1305.17,Dissatisfaction
0506-LVNGN,1,Male,28,Yes,No,No,No,0,1,United States,California,Los Angeles,NA,"33.988543, -118.334081",33.988543,-118.334081,NA,NA,1,1,Q3,No,0,10,Offer D,Yes,29.24,Yes,Yes,Fiber Optic,85,No,No,No,No,No,NA,Yes,Yes,Month-to-Month,Yes,NA,74.15,811.8,0,NA,292.4,1104.1999999999998,Attitude
9227-LUNBG,1,Female,43,No,NA,Yes,No,0,1,United States,California,Los Angeles,90048,"34.072945, -118.37267",34.072945,-118.37267,46,21739,3,1,NA,Yes,1,11,Offer D,Yes,31.08,Yes,Yes,Fiber Optic,26,No,No,Yes,NA,NA,Yes,Yes,Yes,Month-to-Month,Yes,NA,99.5,1056.95,0,0,NA,1398.83,Dissatisfaction
2911-UREFD,1,Male,44,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,NA,Yes,8.77,No,Yes,DSL,10,No,No,No,No,No,No,NA,NA,NA,Yes,Credit Card,NA,44.15,0,0,8.77,52.92,Other
9362-MWODR,1,Female,22,Yes,No,No,No,0,1,NA,California,Los Angeles,90057,"34.061918, -118.277939",34.061918,-118.277939,49,44004,1,1,Q3,No,0,1,None,Yes,31.03,Yes,Yes,NA,27,No,NA,No,No,No,Yes,NA,Yes,Month-to-Month,Yes,Credit Card,85.45,85.45,0,0,31.03,116.48,NA
5951-AOFIH,1,Female,36,No,No,Yes,Yes,NA,1,United States,California,Los Angeles,90062,"34.003553, -118.308933",34.003553,-118.308933,53,29299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1764-VUUMT,1,Female,NA,NA,No,No,Yes,3,NA,NA,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,NA,54,55668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
2501-XWWTZ,1,Male,42,No,No,No,No,NA,1,United States,California,Los Angeles,90066,NA,34.002028,-118.430656,57,55204,2,1,Q3,NA,NA,NA,NA,Yes,35.4,No,Yes,Fiber Optic,18,No,NA,NA,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.2,1060.6,0,0,460.2,1520.8,Attitude
4698-KVLLG,1,Female,NA,Yes,No,No,No,NA,1,United States,California,Los Angeles,90068,NA,34.137411,-118.328915,59,21728,NA,1,Q3,No,0,NA,None,Yes,44.36,No,Yes,NA,58,Yes,Yes,No,No,No,NA,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,54.9,0,0,44.36,99.25999999999999,NA
4747-LCAQL,NA,Female,57,No,NA,Yes,No,0,NA,United States,NA,Los Angeles,90071,NA,34.052917,-118.255178,61,21,1,1,Q3,NA,1,21,Offer D,NA,1.21,Yes,Yes,Fiber Optic,16,Yes,NA,Yes,No,Yes,Yes,Yes,NA,Month-to-Month,Yes,Bank Withdrawal,103.9,2254.2,0,0,NA,NA,Dissatisfaction
2045-BMBTJ,1,Female,35,No,No,Yes,Yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,Yes,1,11,Offer D,Yes,29.01,No,No,None,0,No,No,NA,NA,No,NA,No,No,Month-to-Month,Yes,Credit Card,19.25,180.3,0,0,319.11,499.41,NA
5229-DTFYB,1,Male,33,No,No,NA,No,NA,1,NA,California,Hermosa Beach,NA,"33.86532, -118.396336",33.86532,-118.396336,NA,NA,NA,1,NA,Yes,4,6,None,Yes,21.23,Yes,Yes,Fiber Optic,13,No,No,No,No,NA,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,438,0,0,127.38,565.38,Dissatisfaction
0278-YXOOG,1,Female,25,Yes,No,NA,No,0,1,NA,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,81,78114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
5644-PDMZC,1,Male,39,No,NA,No,No,NA,1,NA,California,Lawndale,90260,NA,33.88856,-118.351813,82,33300,1,NA,Q3,NA,0,12,Offer D,Yes,44.71,Yes,Yes,Cable,25,NA,No,No,No,Yes,NA,Yes,NA,Month-to-Month,Yes,Bank Withdrawal,96.05,1148.1,0,0,536.52,1684.62,Attitude
8999-EXMNO,1,Female,30,No,No,No,No,0,NA,United States,California,Inglewood,90302,"33.975332, -118.355252",33.975332,-118.355252,99,30779,1,1,Q3,No,0,4,None,Yes,48.32,Yes,Yes,Fiber Optic,51,NA,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.95,355.2,0,40,193.28,588.48,Dissatisfaction
2164-SOQXL,NA,Female,42,No,No,No,No,0,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,105,23559,NA,1,Q3,No,0,4,None,Yes,9.81,No,Yes,DSL,30,No,Yes,No,No,No,NA,No,Yes,Month-to-Month,No,Credit Card,50.7,151.3,NA,0,39.24,190.54000000000002,Other
7881-EVUAD,1,Male,23,Yes,No,No,No,0,1,United States,California,NA,90405,"34.005439, -118.477507",34.005439,-118.477507,107,26099,2,1,NA,No,0,3,None,Yes,47.68,NA,Yes,DSL,82,No,No,No,No,Yes,No,Yes,NA,Month-to-Month,NA,Credit Card,53.4,188.7,0,0,143.04,331.74,Other
1676-MQAOA,1,Female,NA,NA,No,Yes,No,0,1,NA,California,Torrance,90505,"33.807882, -118.347957",33.807882,-118.347957,112,34873,NA,1,Q3,Yes,NA,68,None,NA,44.24,Yes,Yes,NA,NA,No,NA,No,No,Yes,No,No,Yes,One Year,NA,NA,83,5685.8,0,0,NA,8694.12,Dissatisfaction
4877-TSOFF,NA,NA,55,NA,No,No,No,0,NA,United States,California,La Palma,90623,"33.850504, -118.039892",33.850504,-118.039892,121,15505,3,1,Q3,No,0,10,Offer D,NA,12.78,No,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,NA,Bank Withdrawal,89.5,863.1,0,0,127.8,990.9,Attitude
8680-CGLTP,1,Male,50,No,NA,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Q3,No,NA,1,None,Yes,22.86,No,Yes,Fiber Optic,25,No,NA,No,No,NA,NA,No,No,Month-to-Month,Yes,Bank Withdrawal,69.8,69.8,0,10,22.86,102.66,NA
3865-QBWSJ,1,Male,53,No,No,NA,No,NA,NA,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,NA,135,30173,1,1,Q3,Yes,1,NA,Offer D,Yes,NA,Yes,Yes,Fiber Optic,20,No,No,No,NA,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NA,NA,0,0,566.8199999999999,2254.77,Price
7963-GQRMY,1,Male,44,No,No,Yes,Yes,NA,1,NA,California,Sunset Beach,90742,"33.719221, -118.073596",33.719221,NA,145,1107,NA,1,Q3,NA,4,NA,None,Yes,27.24,No,NA,DSL,21,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,61.45,229.55,0,0,NA,338.51,NA
7957-RYHQD,1,Male,20,Yes,No,No,No,0,1,United States,NA,Long Beach,90804,"33.783047, -118.1486",NA,-118.1486,152,43467,1,1,Q3,No,0,1,Offer E,Yes,7.15,No,Yes,Fiber Optic,NA,NA,No,No,NA,Yes,NA,Yes,NA,NA,Yes,Bank Withdrawal,90.55,90.55,0,0,7.15,97.7,NA
0023-HGHWL,1,Female,58,No,No,NA,NA,0,NA,United States,California,Long Beach,90807,"33.830099, -118.182239",33.830099,-118.182239,155,31556,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissatisfaction
4146-SVFUD,1,Male,23,Yes,No,NA,No,0,1,United States,NA,Long Beach,90814,NA,33.771612,NA,159,19034,1,1,Q3,No,0,7,Offer E,Yes,NA,Yes,Yes,Fiber Optic,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.2,602.55,0,0,NA,734.3599999999999,Attitude
3334-CTHOL,1,Male,NA,No,No,NA,No,NA,1,United States,NA,South Pasadena,NA,"34.110444, -118.156957",34.110444,-118.156957,NA,NA,NA,1,Q3,NA,1,42,NA,Yes,2.41,Yes,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Bank Withdrawal,106.15,4512.7,0,0,101.22,NA,Other
5384-ZTTWP,1,Male,47,No,NA,Yes,Yes,1,1,NA,California,NA,NA,"34.195386, -118.238508",34.195386,NA,NA,NA,1,1,Q3,Yes,1,8,Offer E,Yes,NA,No,Yes,DSL,NA,NA,No,Yes,No,No,No,NA,Yes,Month-to-Month,Yes,NA,51.05,415.05,0,0,30.8,NA,Dissatisfaction
1167-OYZJF,NA,Female,63,NA,NA,Yes,No,0,1,NA,California,Canoga Park,91303,"34.19829, -118.602203",34.19829,-118.602203,191,23519,3,1,Q3,Yes,1,NA,Offer E,Yes,NA,Yes,Yes,Fiber Optic,5,No,No,No,No,Yes,No,No,No,Month-to-Month,NA,Bank Withdrawal,85.35,754.65,0,50,127.89000000000001,932.54,NA
7878-RTCZG,NA,Male,63,No,No,NA,No,0,1,United States,California,Chatsworth,91311,"34.294142, -118.603883",34.294142,-118.603883,195,35325,1,1,Q3,No,0,43,None,Yes,34,NA,Yes,Fiber Optic,11,Yes,No,No,No,No,No,NA,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,3198.6,0,0,1462,4660.6,Dissatisfaction
2439-QKJUL,1,NA,54,No,No,NA,NA,0,1,United States,California,Encino,91316,"34.150354, -118.518292",34.150354,-118.518292,196,27614,3,NA,Q3,NA,0,1,Offer E,Yes,15.51,No,No,None,0,No,NA,No,No,NA,No,No,No,Month-to-Month,No,Credit Card,20.9,20.9,0,0,15.51,36.41,Dissatisfaction
7854-FOKSF,NA,Male,23,Yes,No,No,No,0,1,United States,California,Valencia,91355,"34.43987, -118.644609",34.43987,-118.644609,213,24977,3,1,Q3,No,0,NA,NA,Yes,48.84,No,Yes,DSL,41,No,No,No,No,No,No,NA,NA,NA,Yes,Bank Withdrawal,43.3,123.65,0,0,146.52,270.17,Price
2400-XIWIO,1,Male,38,No,NA,Yes,No,0,1,United States,California,Tarzana,91356,"34.157137, -118.548511",34.157137,-118.548511,214,27424,2,1,Q3,Yes,1,70,None,Yes,39.63,No,Yes,Fiber Optic,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.5,7534.65,0,0,2774.1000000000004,NA,Price
5186-PEIZU,1,Male,NA,No,NA,Yes,No,NA,1,United States,California,Fallbrook,92028,"33.362575, -117.299644",33.362575,-117.299644,328,42239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
1459-QNFQT,1,Female,25,Yes,No,NA,No,0,1,United States,California,Sherman Oaks,91423,"34.146957, -118.432138",34.146957,-118.432138,229,29387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8838-GPHZP,1,Female,23,Yes,No,NA,No,0,1,United States,California,Burbank,91501,"34.188339, -118.300942",34.188339,-118.300942,231,18112,2,1,Q3,NA,NA,46,None,Yes,43.04,No,Yes,Fiber Optic,71,Yes,Yes,No,Yes,Yes,NA,NA,Yes,One Year,Yes,Bank Withdrawal,NA,4822.85,0,0,1979.84,6802.6900000000005,NA
6922-NCEDI,1,Male,59,No,No,No,No,0,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",NA,-118.326843,27,30568,2,1,Q3,No,0,8,None,Yes,35.53,NA,Yes,Cable,5,No,No,No,No,NA,No,No,Yes,Month-to-Month,NA,Credit Card,45.15,438.4,0,0,NA,722.64,Other
6212-ATMLK,1,Male,62,No,No,Yes,No,0,1,United States,California,NA,NA,"34.165783, -118.399795",34.165783,-118.399795,NA,NA,NA,1,Q3,NA,1,31,None,Yes,2.12,Yes,Yes,Fiber Optic,NA,No,Yes,Yes,NA,Yes,No,No,No,Month-to-Month,No,NA,93.8,3019.5,0,50,65.72,3135.22,NA
7356-AYNJP,NA,Male,45,No,No,No,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,No,0,32,None,Yes,25.21,NA,Yes,Fiber Optic,26,No,No,NA,Yes,NA,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.2,3183.4,0,0,806.72,3990.12,Attitude
2987-BJXIK,NA,Female,NA,Yes,No,No,No,0,1,United States,California,NA,91722,"34.097345, -117.906736",34.097345,-117.906736,248,33817,NA,1,NA,No,0,1,Offer E,Yes,21.72,No,Yes,NA,52,No,No,NA,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.6,79.6,0,0,NA,101.32,NA
6655-LHBYW,1,Male,34,No,No,No,No,0,1,United States,NA,NA,91741,NA,34.14649,-117.849815,258,24973,3,1,Q3,No,0,26,None,Yes,24.16,Yes,Yes,Fiber Optic,22,No,No,No,Yes,No,No,No,Yes,Month-to-Month,NA,Bank Withdrawal,80.5,2088.8,0,0,628.16,NA,Other
4912-PIGUY,1,Male,61,No,No,No,No,0,1,NA,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,263,46342,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Competitor
7760-OYPDY,1,Female,57,NA,No,Yes,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Q3,Yes,NA,14,Offer D,Yes,NA,No,Yes,Fiber Optic,3,No,Yes,NA,NA,NA,Yes,Yes,NA,Month-to-Month,Yes,Credit Card,89.65,1208.35,0,120,106.68,1435.03,NA
0902-RFHOF,1,Female,50,No,No,No,NA,2,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,278,33878,1,1,Q3,No,0,9,None,Yes,35.49,No,Yes,Cable,11,No,No,Yes,Yes,NA,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,651.4,0,0,319.41,970.81,Competitor
6061-PQHMK,1,Male,25,Yes,NA,No,No,0,1,United States,California,Walnut,91789,"34.018354, -117.85492",NA,-117.85492,284,45118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5760-IFJOZ,1,Female,43,No,No,No,No,0,1,United States,California,Alpine,91901,NA,32.827184,-116.703729,290,16486,2,1,Q3,No,NA,NA,None,Yes,36.99,No,Yes,Cable,22,No,No,NA,No,No,No,No,Yes,Month-to-Month,Yes,NA,45.65,45.65,0,0,36.99,82.64,NA
